PA,wOBA,UBR,wGDP,SB,CS,1B,BB,HBP,IBB,playerid
238,.318,0.4,1.3,5,0,23,23,1,3,17954
359,.318,-5.7,0.5,1,0,60,36,2,0,16909
262,.317,0.0,-0.5,0,1,48,20,1,1,17423
365,.317,-0.2,0.1,6,5,62,25,3,1,10762
231,.317,-0.7,-0.7,0,0,33,16,1,0,17484
501,.317,1.0,0.1,8,6,76,28,10,4,13853
524,.317,1.0,1.1,10,4,65,58,5,4,12916
209,.316,0.1,0.3,0,0,29,21,2,0,8418
90,.316,0.2,0.3,2,0,15,8,0,0,14140
381,.316,0.0,-0.8,2,0,46,26,2,0,14111
124,.316,0.6,0.9,2,1,17,13,0,1,21454
412,.316,0.0,0.5,11,3,62,26,1,0,12155
529,.316,1.4,-1.6,2,3,87,22,18,1,14813
194,.316,0.4,0.4,0,1,33,14,5,0,15941
588,.315,0.2,-1.1,13,0,113,31,3,0,15518
481,.315,0.0,-0.2,2,3,62,39,8,0,11899
70,.315,1.0,0.2,3,2,8,8,2,0,21622
208,.315,-0.3,0.2,0,0,15,22,5,0,2829
679,.315,0.8,-1.8,4,2,125,73,4,2,9874
307,.315,-1.8,1.6,4,1,26,23,1,2,18171
279,.314,-2.3,0.5,0,0,25,25,6,1,17278
440,.314,-2.0,-1.2,0,0,41,52,5,3,11442
264,.314,-0.1,-0.3,5,0,42,26,5,2,18289
107,.314,-0.4,0.0,1,0,10,6,1,0,18063
622,.314,-1.7,-0.4,16,5,82,32,5,0,19287
538,.314,1.9,0.6,2,1,80,46,3,3,2136
687,.314,-0.1,-0.1,3,6,123,58,5,1,15491
14,.314,0.0,0.1,0,0,5,0,0,0,5227
312,.313,-0.4,-0.1,1,0,41,23,6,1,12649
292,.313,1.7,0.5,14,3,26,33,2,0,14735
507,.312,1.3,1.1,23,8,73,34,4,0,20454
157,.312,-0.7,0.5,5,0,24,22,1,4,13768
492,.312,-0.4,0.3,6,1,75,29,6,0,11476
474,.312,3.7,-0.2,6,2,80,41,4,0,5913
427,.312,-1.5,0.0,0,0,63,49,2,0,13723
240,.312,0.6,0.8,1,0,45,20,0,0,14320
622,.311,0.9,1.9,3,2,66,80,4,0,16505
539,.311,1.3,-0.7,13,3,89,37,5,0,7802
