"Name","Team","G","playerid"
"Mike Moustakas","CIN","62","4892"
"Luke Williams","PHI","58","19931"
"Taylor Jones","HOU","35","19533"
"Nick Gordon","MIN","73","16337"
"Josh Reddick","ARI","54","3892"
"Zach McKinstry","LAD","60","19392"
"Jon Berti","MIA","85","12037"
"Cole Tucker","PIT","43","17326"
"Gerardo Parra","WSN","53","8553"
"Kurt Suzuki","LAA","72","8259"
"Jonathan Arauz","BOS","28","20275"
"Rodolfo Castro","PIT","31","21987"
"James McCann","NYM","121","12859"
"Daz Cameron","DET","35","18353"
"Jose Peraza","NYM","64","13593"
"Aaron Hicks","NYY","32","5297"
"Hoy Park","- - -","45","18027"
"Taylor Walls","TBR","54","22458"
"Sergio Alcantara","CHC","89","16417"
"Stephen Piscotty","OAK","72","13367"
"Phillip Evans","PIT","76","12950"
"Mauricio Dubon","SFG","74","16530"
"Eric Campbell","SEA","4","6938"
"Michael Chavis","- - -","43","17321"
"Andres Gimenez","CLE","68","19950"
"Eddy Alvarez","MIA","24","16959"
"Billy McKinney","- - -","116","15654"
"Rafael Marchan","PHI","20","21646"
"Cam Gallagher","KCR","48","12981"
"John Andreoli","SDP","7","13012"
"Andrew Stevenson","WSN","109","17932"
"Jose Devers","MIA","21","20540"
"Carter Kieboom","WSN","62","19958"
"Gregory Polanco","PIT","107","12907"
"Wilson Ramos","- - -","44","1433"
"Johneshwy Fargas","- - -","22","16446"
"Roman Quinn","PHI","28","13546"
"Didi Gregorius","PHI","103","6012"
"Lewis Brinson","MIA","89","14352"
"Ernie Clement","CLE","40","20352"
"Jason Heyward","CHC","104","4940"
"Daniel Johnson","CLE","30","19643"
"Ryan O'Hearn","KCR","84","16442"
"Juan Lagares","LAA","112","5384"
"Isaac Paredes","DET","23","20036"
"Khris Davis","- - -","42","9112"
"Ronald Torreyes","PHI","112","11400"
"Victor Robles","WSN","107","18363"
"Jorge Alfaro","MIA","92","12180"
"Ryan Lavarnway","CLE","9","8879"
"Victor Caratini","SDP","116","14968"
"David Fletcher","LAA","157","17992"
"John Nogowski","- - -","52","16852"
"Willians Astudillo","MIN","73","15608"
"DJ Peters","- - -","70","19348"
"Erick Castillo","CHC","4","12990"
"Ryan McBroom","KCR","7","16524"
"Kyle Higashioka","NYY","67","5517"
"Dylan Moore","SEA","126","18042"
"Jose Barrero","CIN","21","23378"
"Adrian Sanchez","WSN","16","11338"
"Adam Eaton","- - -","84","11205"
"Willi Castro","DET","125","17338"
"Alex Blandino","CIN","43","16271"
"Kelvin Gutierrez","- - -","85","17468"
"Jarred Kelenic","SEA","93","22558"
"Mason Williams","NYM","17","11859"
"Ha-seong Kim","SDP","117","27506"
"Stephen Vogt","- - -","78","5000"
"Elvis Andrus","OAK","146","8709"
"Taylor Trammell","SEA","51","19960"
"Nick Ahmed","ARI","129","12147"
"Matt Carpenter","STL","130","8090"
"Shed Long Jr.","SEA","34","16542"
"Mike Brosseau","TBR","57","19683"
"Danny Mendick","CHW","71","18889"
"David Bote","CHC","97","14593"
"Romy Gonzalez","CHW","10","21562"
"Donovan Walton","SEA","24","19314"
"Seby Zavala","CHW","37","18887"
"Brian O'Grady","SDP","32","16729"
"Yonny Hernandez","TEX","43","19432"
"Daniel Robertson","MIL","50","14145"
"Nomar Mazara","DET","50","14553"
"Jacob Nottingham","- - -","15","16448"
"Maikel Franco","BAL","104","12179"
"Billy Hamilton","CHW","71","10199"
"Ronnie Dawson","HOU","3","19710"
"Ender Inciarte","ATL","52","4922"
"Jose Trevino","TEX","89","16725"
"Danny Santana","BOS","38","10322"
"Jason Vosler","SFG","41","16686"
"Joshua Fuentes","COL","95","16885"
"Jason Martin","TEX","58","16429"
"Mike Tauchman","- - -","75","15274"
"Eric Sogard","CHC","78","7927"
"Marwin Gonzalez","- - -","91","5497"
"Taylor Motter","- - -","16","12399"
"Brock Holt","TEX","77","9345"
"Ryan McKenna","BAL","90","19928"
"Chadwick Tromp","SFG","9","16953"
"Martin Maldonado","HOU","125","6887"
"Jake Bauers","- - -","115","15194"
"Jose Marmolejos","SEA","41","15767"
"Jonah Heim","TEX","82","16930"
"Tomas Nido","NYM","58","13755"
